,TPM,Gene Heterogeneity,log10TPM,htg.qtl
SEPTIN7,36.26558195470167,0.7126304979467711,1.559494650988108,1.0
PSMA2,44.76368110600722,0.7195591127551302,1.6509257931890018,1.0
POLD2,136.7968696695159,0.6941710681676279,2.1360761595126774,0.75
TMED4,66.90804096793477,0.7054423304713415,1.8254783141527664,1.0
PPIA,1689.910364217736,0.6688528492689289,3.227863669490589,0.5
H2AZ2,60.195881670840336,0.7081372123093259,1.7795667798157955,1.0
SEC61G,502.4456747266384,0.67013155354285,2.701089111979354,0.5
CCT6A,166.27748563347515,0.7017652547372873,2.2208334486958363,1.0
CHCHD2,329.1615869353955,0.717580178576594,2.517409147453418,1.0
EIF4H,182.5949557911347,0.7035813388056642,2.261488775923722,1.0
GTF2I,53.937842595741905,0.6943363725146084,1.731893571566218,0.75
MDH2,147.31364595270367,0.7024380857037947,2.168242978257877,1.0
HSPB1,64.3031230284733,0.6159650453917774,1.8082320659428224,0.25
YWHAG,40.59108351696824,0.6884700392255444,1.6084306442997882,0.75
SRI,105.95584168324058,0.703750175921619,2.025124905745807,1.0
CYP51A1,89.92035504572013,0.6834127531797227,1.9538580130169416,0.5
PDAP1,52.486316813938664,0.6996103511833366,1.7200460975632283,0.75
ATP5MF-PTCD1,17.67808452482269,0.5702425565513666,1.2474352060748766,0.25
ATP5MF,525.9164663864116,0.5783624576142725,2.720916768738541,0.25
COPS6,237.42147803338293,0.7409086282715724,2.3755200042961384,1.0
MCM7,175.4252313428344,0.7097250840720356,2.2440920579290853,1.0
LAMTOR4,129.56820008211616,0.6055525713796006,2.112498425736102,0.25
GNB2,127.12697894021817,0.6791619128370554,2.1042377264903087,0.5
GIGYF1,8.846080494466097,0.649066563856689,0.9467508868924362,0.25
POP7,304.859056301014,0.7051594496983686,2.484099100926372,1.0
TRIP6,160.7293109190004,0.7380284706134436,2.206095082797046,1.0
ZNHIT1,231.51271633591818,0.7057194658788299,2.364574850571446,1.0
FIS1,134.03385423507058,0.641429571903966,2.127214506204516,0.25
ARF5,339.124778292495,0.6883233102276812,2.530359522843733,0.75
SND1,34.11560623308717,0.6749946436874549,1.532953093081709,0.5
ATP6V1F,288.0069763551888,0.7367366820204813,2.45940300774488,1.0
PODXL,53.866867556649574,0.7053390727081741,1.7313217213707928,1.0
AKR1B1,175.56022746142284,0.7164964144107112,2.2444261348590646,1.0
CALD1,27.44697614854212,0.6868344596223053,1.4384945049121594,0.75
MTPN,43.26111391826829,0.7225492139694293,1.6360976977736448,1.0
NDUFB2,159.60469854435325,0.6787459247947416,2.2030456722393335,0.5
SSBP1,296.8118013066059,0.6973554071099479,2.4724811646004072,0.75
ZYX,123.38216921366643,0.6695628476456927,2.0912524014181235,0.5
RARRES2,681.903356934362,0.5794913824898109,2.8337228284333134,0.25
FDFT1,173.00276751708898,0.6661158201659996,2.2380530505726495,0.5
PDLIM2,61.607336116789824,0.6780754017516994,1.7896324304329085,0.5
DPYSL2,43.97942462735207,0.563155276660309,1.6432495432876046,0.25
CLU,47.612421520738714,0.683169459788546,1.6777202698246716,0.5
RBPMS,100.59846211019358,0.6945143309370039,2.002591341533409,0.75
